id;track_name;genre;artist_name;topic;release_date
79;i do adore her;pop;harry belafonte;sadness;1956
80;ciao, ciao, bambina;pop;jerry vale;sadness;1956
81;non dimenticar;pop;jerry vale;romantic;1956
82;al di la;pop;jerry vale;sadness;1956
83;matilda;pop;harry belafonte;obscene;1956
84;devil or angel;pop;the clovers;violence;1956
85;hosanna;pop;harry belafonte;violence;1956
86;volare (nel blu dipinto di blu);pop;jerry vale;sadness;1956
87;why should i;pop;the platters;romantic;1956
88;in other words (fly me to the moon);pop;johnny mathis;music;1956
89;i'll never be free;pop;lavern baker;romantic;1956
90;remember when;pop;the platters;sadness;1956
91;love love love;pop;the clovers;obscene;1956
92;it might as well be spring;pop;johnny mathis;music;1956
93;at your beck and call;pop;the platters;world/life;1956
94;september in the rain;pop;the platters;music;1956
95;i give you my word;pop;the platters;music;1956
96;more;pop;jerry vale;romantic;1956
97;summertime in venice;pop;jerry vale;music;1956
98;here goes a fool;pop;the clovers;obscene;1956
99;chinna kelbyaadve nanna ppuraana;pop;t. m. soundararajan;romantic;1956
100;remember me (the girl in the wood);pop;frankie laine;world/life;1956
101;blood beach;pop;groovie ghoulies;violence;1957
102;am i blue?;pop;ricky nelson;music;1957
103;don't ever love me;pop;harry belafonte;romantic;1957
104;angelique-o;pop;harry belafonte;world/life;1957
105;true love;pop;ricky nelson;romantic;1957
106;by myself;pop;johnny mathis;world/life;1957
107;warm;pop;johnny mathis;romantic;1957
108;panchhi banoon udti phiroon;pop;lata mangeshkar;music;1957
109;miss you;pop;billy vaughn;sadness;1957
110;one kiss;pop;eddie cochran;romantic;1957
111;i'm glad there is you;pop;johnny mathis;sadness;1957
112;baby, baby, baby;pop;johnny mathis;sadness;1957
113;undying love;pop;eddie cochran;world/life;1957
114;your true love;pop;ricky nelson;romantic;1957
115;cu cu ru cu cu paloma;pop;harry belafonte;sadness;1957
116;cordelia brown;pop;harry belafonte;world/life;1957
117;dear heart;pop;andy williams;romantic;1957
118;completely sweet;pop;eddie cochran;romantic;1957
119;sittin' in the balcony;pop;eddie cochran;romantic;1957
120;a time for us;pop;andy williams;world/life;1957
121;soft sands;pop;the chordettes;romantic;1957
122;(where do i begin) love story;pop;andy williams;world/life;1957
123;canadian sunset;pop;andy williams;romantic;1957
124;kisses sweeter than wine;pop;jimmie rodgers;romantic;1957
125;eddie my love;pop;the chordettes;night/time;1957
126;come home to my arms;pop;the chordettes;romantic;1957
127;love never changes;pop;the chordettes;world/life;1957
128;tumsa nahin dekha;pop;mohammed rafi;sadness;1957
129;i can't love you enough;pop;lavern baker;sadness;1957
130;choopula kalasina subhavela;pop;ghantasala;violence;1957
131;i'm alone because i love you;pop;eddie cochran;sadness;1957
132;i've grown accustomed to her face;pop;johnny mathis;violence;1957
133;speak softly love;pop;andy williams;world/life;1957
134;teen age goodnight;pop;the chordettes;romantic;1957
135;love, love alone;pop;harry belafonte;sadness;1957
136;now i know;pop;the keynotes;sadness;1957
137;tell me you love me;pop;the keynotes;obscene;1957
138;still;pop;lavern baker;romantic;1957
139;i don't know;pop;the keynotes;world/life;1957
140;suno sunaoon tumhen ek kahani;pop;pradeep kumar;obscene;1957
141;i'll see you in my dreams;pop;norrie paramor;sadness;1957
142;i surrender, dear;pop;les paul;sadness;1957
143;titulos principio;pop;esquivel!;night/time;1957
144;in the middle of nowhere;pop;the platters;sadness;1957
145;you are too beautiful;pop;the platters;sadness;1957
146;that's all i need;pop;lavern baker;obscene;1957
147;aagaya veedhiyil;pop;ghantasala;violence;1958
148;don't blame me;pop;the platters;sadness;1958
149;between the devil and the deep blue sea;pop;perry como;violence;1958
150;in the garden;pop;perry como;music;1958
151;he's got the whole world in his hands;pop;perry como;romantic;1958
152;birth of the blues;pop;perry como;music;1958
153;where can i go?;pop;johnny mathis;romantic;1958
154;夢斷巫山;pop;張露;world/life;1958
155;你去了那裡;pop;張露;music;1958
156;mona lisa;pop;frankie laine;sadness;1958
157;inbamae pongumae;pop;a. m. rajah;sadness;1958
158;enna vendum;pop;t. m. soundararajan;obscene;1958
159;cowboy jackie;pop;maria koterbska;sadness;1958
160;unchained melody;pop;ricky nelson;night/time;1958
161;rose, rose, i love you;pop;frankie laine;sadness;1958
162;talk to me something;pop;bobby darin;romantic;1958
163;there goes my baby;pop;ricky nelson;obscene;1958
164;oh, so many years;pop;the everly brothers;romantic;1958
165;when i am with you;pop;johnny mathis;romantic;1958
166;i'll walk alone;pop;ricky nelson;sadness;1958
167;down the line;pop;ricky nelson;night/time;1958
168;yours;pop;billy vaughn;romantic;1958
169;all dressed up with a broken heart;pop;jerry vale;sadness;1958
170;changing all those changes;pop;buddy holly;world/life;1958
171;no love (but your love);pop;johnny mathis;romantic;1958
172;pretty betty;pop;bobby darin;night/time;1958
173;well...all right;pop;buddy holly;night/time;1958
174;wonderful, wonderful;pop;johnny mathis;romantic;1958
175;i'm gonna love you too;pop;buddy holly;feelings;1958
176;sleigh ride;pop;johnny mathis;music;1958
177;the twelfth of never;pop;johnny mathis;romantic;1958
178;to be loved;pop;jackie wilson;romantic;1958
179;when sunny gets blue;pop;johnny mathis;sadness;1958
180;words of love;pop;buddy holly;romantic;1958
181;poor little fool;pop;ricky nelson;sadness;1958
182;high noon;pop;frankie laine;violence;1958
183;blue days, black nights;pop;buddy holly;music;1958
184;take your time;pop;buddy holly;night/time;1958
185;winter wonderland;pop;johnny mathis;music;1958
186;little baby;pop;buddy holly;sadness;1958
187;valley of tears;pop;buddy holly;world/life;1958
188;diana;pop;frankie lymon;romantic;1958
189;long time gone;pop;the everly brothers;night/time;1958
190;roving gambler;pop;the everly brothers;obscene;1958
191;listen to me;pop;buddy holly;music;1958
192;you are my one desire;pop;buddy holly;romantic;1958
193;love me;pop;buddy holly;world/life;1958
194;love letters;pop;perry como;night/time;1958
195;drifting away from you;pop;the drifters;sadness;1958
196;moonlight bay;pop;the drifters;music;1958
197;i'll take you home again kathleen;pop;the platters;sadness;1958
198;my serenade;pop;the platters;music;1958
199;sleepy time gal;pop;the platters;night/time;1958
200;try a little tenderness;pop;the platters;world/life;1958
201;god rest ye merry, gentlemen;pop;mantovani;world/life;1958
202;all of me;pop;jerry vale;sadness;1958
203;that old feeling;pop;the platters;sadness;1958
204;for the first time;pop;the platters;night/time;1958
205;believe what you say;pop;ricky nelson;world/life;1958
206;my bucket's got a hole in it;pop;ricky nelson;violence;1958
207;jealousy (jalousie);pop;frankie laine;sadness;1958
208;it's raining outside;pop;the platters;sadness;1958
209;good night irene;pop;jerry lee lewis;world/life;1958
210;blue christmas;pop;johnny mathis;music;1958
211;whispering wind;pop;the platters;music;1958
212;as long as i live;pop;jackie wilson;world/life;1958
213;right now!;pop;jackie wilson;night/time;1958
214;granada;pop;frankie laine;world/life;1958
215;your cheatin' heart;pop;frankie laine;sadness;1958
216;but not like you;pop;the platters;sadness;1958
217;danny boy;pop;jackie wilson;music;1958
218;that's my desire;pop;frankie laine;romantic;1958
219;don't leave me;pop;ricky nelson;sadness;1959
220;promises, promises;pop;jerry vale;sadness;1959
221;moonglow;pop;jerry vale;music;1959
222;i belong to you;pop;neil sedaka;world/life;1959
223;crying my heart out for you;pop;neil sedaka;sadness;1959
224;moon of gold;pop;neil sedaka;romantic;1959
225;i waited too long;pop;neil sedaka;night/time;1959
226;forty winks away;pop;neil sedaka;sadness;1959
227;no vacancy;pop;neil sedaka;obscene;1959
228;blood from a stone;pop;ricky nelson;violence;1959
229;going home to mary lou;pop;neil sedaka;music;1959
230;i'm walkin';pop;cliff richard & the shadows;sadness;1959
231;i've got you under my skin;pop;shirley bassey;violence;1959
232;walk with me;pop;neil sedaka;sadness;1959
233;as long as i live;pop;neil sedaka;world/life;1959
234;the same old fool;pop;neil sedaka;sadness;1959
235;love is all;pop;jackie wilson;obscene;1959
236;shiva shankari shivananda;pop;ghantasala;violence;1959
237;i wish your picture was you;pop;lloyd price;world/life;1959
238;stairway to the sea (scalinatella);pop;johnny mathis;sadness;1959
239;embraceable you;pop;johnny mathis;romantic;1959
240;let's love;pop;johnny mathis;romantic;1959
241;oceano;pop;tony dallara;sadness;1959
242;منك بخاف;pop;rania;violence;1959
243;let it snow! let it snow! let it snow!;pop;ira ironstrings;sadness;1959
244;back in your own back yard;pop;brenda lee;sadness;1959
245;you better go now;pop;johnny mathis;obscene;1959
246;i'm just a boy in love;pop;johnny mathis;world/life;1959
247;secret love;pop;johnny mathis;world/life;1959
248;where are you?;pop;johnny mathis;sadness;1959
249;faithfully;pop;johnny mathis;romantic;1959
250;have yourself a merry little christmas;pop;connie francis;music;1959
251;i'll be home for christmas;pop;connie francis;music;1959
252;touch me, lord jesus;pop;lavern baker;romantic;1959
253;happiness;pop;jackie wilson;sadness;1959
254;only you, only me;pop;jackie wilson;obscene;1959
255;it's all a part of love;pop;jackie wilson;world/life;1959
256;superman;pop;the brothers four;violence;1959
257;angelique-o;pop;the brothers four;world/life;1959
258;the damsel's lament (i never will marry);pop;the brothers four;world/life;1959
259;i'll be easy to find;pop;johnny mathis;sadness;1959
260;prisoner of love;pop;the platters;sadness;1959
261;if i didn't care;pop;the platters;sadness;1959
262;as time goes by;pop;the flamingos;violence;1959
263;when i fall in love;pop;johnny mathis;sadness;1959
264;i'll never smile again;pop;the platters;sadness;1959
265;mama;pop;connie francis;world/life;1959
266;rockin' all night;pop;ritchie valens;romantic;1959
267;i got the blues;pop;dion & the belmonts;music;1959
268;through a long and sleepless night;pop;bobby darin;sadness;1959
269;sweeter than you;pop;ricky nelson;romantic;1959
270;no one knows;pop;dion & the belmonts;sadness;1959
271;non dimenticar;pop;connie francis;romantic;1959
272;turn! turn! turn! (to everything there is a season);pop;the byrds;night/time;1959
273;mrs. robinson;pop;simon & garfunkel;sadness;1959
274;yellow bird;pop;the brothers four;sadness;1959
275;stay beside me;pop;ritchie valens;sadness;1959
276;just you;pop;dion & the belmonts;violence;1959
277;you mean everything to me;pop;neil sedaka;romantic;1959
278;i'm walkin';pop;fats domino;obscene;1959
279;lonely teardrops;pop;jackie wilson;sadness;1959
280;oh! carol;pop;neil sedaka;sadness;1959
281;lonesome town;pop;ricky nelson;sadness;1959
282;blueberry hill;pop;fats domino;romantic;1959
283;ain't that a shame;pop;fats domino;sadness;1959
284;smoke gets in your eyes;pop;the platters;sadness;1959
285;a teenager in love;pop;dion & the belmonts;sadness;1959
286;we belong together;pop;ritchie valens;music;1959
287;winter wonderland;pop;connie francis;music;1959
288;paddiwack song;pop;ritchie valens;music;1959
289;boulevard of broken dreams;pop;esquivel!;sadness;1959
290;it's late;pop;ricky nelson;night/time;1959
291;i'll remember april;pop;bobby darin;romantic;1959
292;my darling is gone;pop;ritchie valens;sadness;1959
293;music, maestro, please!;pop;the flamingos;music;1959
294;that's my desire;pop;dion & the belmonts;romantic;1959
295;fool fool fool;pop;the clovers;sadness;1959
296;all about you;pop;the clovers;obscene;1959
297;the marching saints;pop;harry belafonte;obscene;1959
298;if you've got the money i've got the time;country;lefty frizzell;night/time;1950
299;i want to be with you always;country;lefty frizzell;music;1950
300;how long will it take (to stop loving you);country;lefty frizzell;night/time;1950
301;look what thoughts will do;country;lefty frizzell;world/life;1950
302;treasure untold;country;lefty frizzell;romantic;1950
303;my old pal;country;lefty frizzell;world/life;1950
304;always late (with your kisses);country;lefty frizzell;night/time;1950
305;i love you a thousand ways;country;lefty frizzell;world/life;1950
306;she's gone, gone, gone;country;lefty frizzell;violence;1950
307;the long black veil;country;lefty frizzell;violence;1950
308;give me more, more, more (of your kisses);country;lefty frizzell;romantic;1950
309;lost love blues (rehearsal session);country;lefty frizzell;night/time;1951
310;i'll try;country;lefty frizzell;sadness;1951
311;all of me loves all of you;country;lefty frizzell;world/life;1951
312;no mother in this world today;country;lester flatt;world/life;1951
313;long gone;country;brownie mcghee;night/time;1951
314;i know you're lonesome (while waiting for me);country;lefty frizzell;music;1951
315;that's me without you;country;lefty frizzell;violence;1951
316;give me the flowers (while i'm living);country;lester flatt;world/life;1951
317;gone home;country;lester flatt;music;1951
318;i still miss someone;country;lester flatt;sadness;1951
319;don't stay away (till love grows cold);country;lefty frizzell;sadness;1951
320;who will sing for me?;country;lester flatt;music;1951
321;he took your place;country;lester flatt;world/life;1951
322;forever (and always);country;lefty frizzell;romantic;1951
323;black snake moan;country;brownie mcghee;night/time;1951
324;the little drummer boy;country;johnny cash;music;1951
325;i'm walking with him;country;lester flatt;world/life;1951
326;wait for the sunshine;country;lester flatt;world/life;1951
327;joy bells;country;lester flatt;sadness;1951
328;losin' you;country;june carter cash;obscene;1952
329;strange woman;country;june carter cash;sadness;1952
330;gone;country;june carter cash;feelings;1952
331;get this stranger out of me;country;lefty frizzell;sadness;1952
332;i'll go on alone;country;marty robbins;world/life;1952
333;appalachian pride;country;june carter cash;violence;1952
334;i walk alone;country;marty robbins;sadness;1952
335;the story of my life;country;marty robbins;sadness;1952
336;don't worry;country;marty robbins;romantic;1952
337;some memories just won't die;country;marty robbins;sadness;1952
338;juke box blues;country;june carter cash;music;1952
339;ribbon of darkness;country;marty robbins;sadness;1952
340;my woman, my woman, my wife;country;marty robbins;romantic;1952
341;just married;country;marty robbins;sadness;1952
342;without a love to call my own;country;june carter cash;music;1952
343;among my souvenirs;country;marty robbins;sadness;1952
344;the loving gift;country;johnny cash;world/life;1952
345;i love you sweetheart;country;june carter cash;sadness;1952
346;no swallerin' place;country;june carter cash;night/time;1952
347;cabin on the hill;country;lester flatt;sadness;1952
348;keep on the sunny side;country;the carter family;world/life;1952
349;santa claus is comin' to town;country;gene autry;obscene;1953
350;i love you mostly;country;lefty frizzell;romantic;1953
351;making believe;country;lefty frizzell;sadness;1953
352;i won't mention it again;country;ray price;sadness;1954
353;release me;country;ray price;world/life;1954
354;danny boy;country;ray price;violence;1954
355;counting the days;country;marah;violence;1954
356;crazy arms;country;ray price;romantic;1954
357;the devil went down to georgia;country;the charlie daniels band;violence;1954
358;tennessee flat top box;country;johnny cash;music;1954
359;big bad john;country;jimmy dean;violence;1954
360;sporting life;country;brownie mcghee;world/life;1955
361;paper boy;country;johnny cooper;sadness;1955
362;long time to forget;country;george jones;night/time;1955
363;uh uh no;country;george jones;sadness;1955
364;seasons of my heart;country;george jones;sadness;1955
365;no money in this deal;country;george jones;obscene;1955
366;honky tonk hardwood floor;country;johnny horton;obscene;1955
367;all over again;country;johnny cash;sadness;1955
368;good morning blues;country;brownie mcghee;violence;1955
369;simple simon;country;hank thompson;world/life;1956
370;the same old me;country;ray price;sadness;1956
371;one more time;country;ray price;night/time;1956
372;i'd rather be sorry;country;ray price;world/life;1956
373;yesterday's girl;country;hank thompson;world/life;1956
374;when you're lovin', you're livin';country;hank thompson;world/life;1956
375;loose talk;country;carl smith;sadness;1956
376;over and over;country;jean shepard;sadness;1956
377;there she goes;country;carl smith;sadness;1956
378;shadows on the wall;country;jean shepard;sadness;1956
379;sing her a love song;country;carl smith;music;1956
380;i'll thank you all my life;country;jean shepard;world/life;1956
381;i married you for love;country;jean shepard;world/life;1956
382;hello old broken heart;country;jean shepard;sadness;1956
383;make the world go away;country;ray price;sadness;1956
384;the angel of death;country;hank williams;violence;1956
385;thank god;country;hank williams;world/life;1956
386;jesus remembered me;country;hank williams;world/life;1956
387;johnny reb;country;johnny horton;violence;1956
388;all for the love of a girl;country;johnny horton;world/life;1956
389;message to my mother;country;hank williams;sadness;1956
390;the mansion you stole;country;johnny horton;sadness;1956
391;(i'm gonna) sing, sing, sing;country;hank williams;music;1956
392;you're the best thing that ever happened to me;country;ray price;world/life;1956
393;i got a hole in my pirogue;country;johnny horton;violence;1956
394;wealth won't save your soul;country;hank williams;world/life;1956
395;how can you refuse him now;country;hank williams;sadness;1956
396;i'm ready if you're willing;country;johnny horton;night/time;1956
397;why should i be lonely;country;lefty frizzell;music;1957
398;if you're ever lonely darling;country;lefty frizzell;night/time;1957
399;release me;country;lefty frizzell;romantic;1957
400;i don't want to know;country;hank thompson;feelings;1957
401;joy to the world;country;gene autry;music;1957
402;san antonio rose;country;carl smith;sadness;1957
403;i can't help it;country;ray price;sadness;1957
404;let me talk to you;country;ray price;world/life;1957
405;all the world is lonely now;country;marty robbins;sadness;1957
406;signed, sealed and delivered;country;lefty frizzell;sadness;1957
407;only one heart to give;country;sonny james;romantic;1957
408;i wish i knew;country;sonny james;obscene;1957
409;swing low, sweet chariot;country;big bill broonzy;music;1957
410;may god be with you;country;sonny james;obscene;1957
411;time changes everything;country;carl smith;world/life;1957
412;please come back home;country;carl smith;obscene;1957
413;lovin' is livin';country;carl smith;obscene;1957
414;forgive me;country;sonny james;sadness;1957
415;the house that love built;country;carl smith;romantic;1957
416;bouquet of roses;country;marty robbins;sadness;1957
417;ain't no wheels on this ship;country;patsy cline;obscene;1957
418;i can't forget;country;patsy cline;world/life;1957
419;i was there when it happened (2017 remaster);country;johnny cash;violence;1957
420;cry! cry! cry! (alternate version, extended take 1) (2017 remaster);country;johnny cash;music;1957
421;don't ever leave me again;country;patsy cline;sadness;1957
422;fingerprints;country;patsy cline;sadness;1957
423;i walk the line;country;johnny cash;sadness;1957
424;three cigarettes in an ashtray;country;patsy cline;sadness;1957
425;return to me;country;marty robbins;sadness;1957
426;doin' my time;country;johnny cash;night/time;1957
427;the wreck of the old 97;country;johnny cash;violence;1957
428;remember me;country;johnny cash;world/life;1957
429;in care of the blues;country;patsy cline;music;1957
430;i heard that lonesome whistle;country;johnny cash;music;1957
431;unchained melody;country;marty robbins;night/time;1957
432;i hang my head and cry;country;marty robbins;sadness;1957
433;pins and needles;country;ray price;sadness;1957
434;i love you because;country;ray price;world/life;1957
435;letters have no arms;country;ray price;romantic;1957
436;remember me;country;ray price;world/life;1957
437;i'll sail my ship alone;country;ray price;sadness;1957
438;it's too late now (to worry anymore);country;marty robbins;sadness;1957
439;you only want me when you're lonely;country;marty robbins;sadness;1957
440;to each his own;country;marty robbins;romantic;1957
441;hang your head in shame;country;hank thompson;violence;1957
442;love me tender;country;marty robbins;romantic;1957
443;heartbreak avenue;country;don gibson;sadness;1958
444;where no one stands alone;country;don gibson;violence;1958
445;lord i'm coming home;country;don gibson;music;1958
446;i love you a thousand ways;country;carl smith;world/life;1958
447;my god is real;country;don gibson;feelings;1958
448;blues in my heart;country;don gibson;sadness;1958
449;evening prayer;country;don gibson;world/life;1958
450;known only to him;country;don gibson;world/life;1958
451;in the valley of the moon;country;hank thompson;romantic;1958
452;the best years of your life;country;carl smith;world/life;1958
453;pray for me;country;the louvin brothers;violence;1958
454;stay;country;charlie rich;sadness;1958
455;driftwood on the river;country;ray price;sadness;1958
456;ice cold heart;country;ray price;sadness;1958
457;there'll be no teardrops tonight;country;ray price;world/life;1958
458;let me call you sweetheart;country;hank thompson;music;1958
459;signed, sealed and delivered;country;hank thompson;sadness;1958
460;make room in your heart (for a memory);country;hank thompson;sadness;1958
461;after all the things i've done;country;hank thompson;world/life;1958
462;i wouldn't miss it for the world;country;hank thompson;sadness;1958
463;please don't leave me;country;ray price;romantic;1958
464;i overlooked an orchid;country;carl smith;world/life;1958
465;hang your head in shame;country;carl smith;sadness;1958
466;night train to memphis;country;carl smith;night/time;1958
467;slowly;country;carl smith;sadness;1958
468;too soon to know;country;don gibson;sadness;1958
469;goodnight sweetheart;country;sonny james;night/time;1958
470;you, you, you;country;sonny james;world/life;1958
471;i'd rather die young;country;johnny cash;sadness;1958
472;that's all over;country;johnny cash;sadness;1958
473;don't make me go;country;johnny cash;sadness;1958
474;goodbye little darling;country;johnny cash;romantic;1958
475;the troubadour;country;johnny cash;music;1958
476;come in stranger;country;johnny cash;night/time;1958
477;there you go;country;johnny cash;sadness;1958
478;next in line;country;johnny cash;night/time;1958
479;make him a soldier;country;the louvin brothers;obscene;1958
480;i still miss someone;country;johnny cash;sadness;1958
481;home of the blues;country;johnny cash;music;1958
482;suppertime;country;johnny cash;music;1958
483;joe's been a-gittin' there;country;johnny horton;obscene;1958
484;counterfeit love;country;johnny horton;sadness;1958
485;i can't stop lovin' you;country;don gibson;world/life;1958
486;shepherd of my heart;country;johnny cash;romantic;1958
487;take me as i am;country;don gibson;violence;1958
488;bad, bad day;country;don gibson;sadness;1958
489;i've gotta have my baby back;country;ray price;music;1958
490;i love you so much, it hurts;country;ray price;sadness;1958
491;sweet, sweet girl;country;don gibson;romantic;1958
492;(prayer is the key to heaven) faith unlocks the door;country;don gibson;violence;1958
493;talk to your heart;country;ray price;sadness;1958
494;stranger;country;lefty frizzell;sadness;1959
495;lonely heart;country;lefty frizzell;sadness;1959
496;foggy river;country;don gibson;sadness;1959
497;i wish it had been a dream;country;don gibson;sadness;1959
498;let's call it a day;country;stonewall jackson;world/life;1959
499;man has cried;country;stonewall jackson;sadness;1959
500;i'd rather die young;country;jean shepard;sadness;1959
501;mary don't you weep;country;stonewall jackson;music;1959
502;a satisfied mind;country;jean shepard;world/life;1959
503;crying steel guitar waltz;country;jean shepard;music;1959
504;goin' home;country;conway twitty;music;1959
505;hey miss ruby;country;conway twitty;feelings;1959
506;restless;country;conway twitty;world/life;1959
507;judge of hearts;country;conway twitty;sadness;1959
508;i'll never shed another tear;country;lester flatt;world/life;1959
509;baby blue eyes;country;lester flatt;sadness;1959
510;midnight;country;don gibson;sadness;1959
511;almost;country;don gibson;music;1959
512;i'll never love another;country;lester flatt;world/life;1959
513;i'm going to make heaven my home;country;lester flatt;world/life;1959
514;halfway to heaven;country;conway twitty;night/time;1959
515;do you think;country;don gibson;sadness;1959
516;walking blues;country;brownie mcghee;sadness;1959
517;you can't break the chains of love;country;jean shepard;sadness;1959
518;i'll hold you in my heart;country;jean shepard;romantic;1959
519;i love you because;country;jean shepard;world/life;1959
520;sweet temptation;country;jean shepard;romantic;1959
521;you're calling me sweetheart again;country;jean shepard;music;1959
522;under suspicion;country;jean shepard;romantic;1959
523;memory;country;jean shepard;sadness;1959
524;it's my way;country;don gibson;romantic;1959
525;the other woman;country;jean shepard;romantic;1959
526;a thief in the night;country;jean shepard;romantic;1959
527;brownie's blues;country;brownie mcghee;obscene;1959
528;i'll never be free;country;jean shepard;romantic;1959
529;she's mine;country;conway twitty;romantic;1959
530;will the circle be unbroken;country;george jones;music;1959
531;hank and joe and me;country;johnny cash;violence;1959
532;thanks a lot;country;johnny cash;world/life;1959
533;i forgot to remember to forget;country;johnny cash;world/life;1959
534;the caretaker;country;johnny cash;violence;1959
535;you win again;country;johnny cash;sadness;1959
536;it could be you (instead of him);country;johnny cash;world/life;1959
537;mona lisa;country;conway twitty;sadness;1959
538;if i could only win your love;country;the louvin brothers;sadness;1959
539;old apache squaw;country;johnny cash;violence;1959
540;wind;country;sons of the pioneers;sadness;1959
541;it's only make believe;country;conway twitty;world/life;1959
542;the old account;country;johnny cash;world/life;1959
543;luther played the boogie;country;johnny cash;music;1959
544;lead me father;country;johnny cash;violence;1959
545;lead me gently home;country;johnny cash;world/life;1959
546;these things shall pass;country;johnny cash;world/life;1959
547;(ghost) riders in the sky;country;sons of the pioneers;violence;1959
548;young love;country;sonny james;sadness;1959
549;swing low, sweet chariot;country;johnny cash;music;1959
550;blueberry hill;country;conway twitty;romantic;1959
551;i'll try;country;conway twitty;romantic;1959
552;the story of my love;country;conway twitty;world/life;1959
553;teardrops in my heart;country;sons of the pioneers;sadness;1959
554;you'll never walk alone;country;conway twitty;sadness;1959
555;don't you know;country;conway twitty;world/life;1959
556;all my love in vain;country;sonny boy williamson ii;sadness;1959
